run_id,run_label,order_num,conveyor,replication
1,run_1_algorithm1_load_balance_smart_active_need_fixed,10,1,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,9,1,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,5,1,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,1,2,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,6,2,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,7,2,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,2,3,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,8,3,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,4,3,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,3,4,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,11,4,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,10,1,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,9,1,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,5,1,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,1,2,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,6,2,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,7,2,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,2,3,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,8,3,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,4,3,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,3,4,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,11,4,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,10,1,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,9,1,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,5,1,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,1,2,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,6,2,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,7,2,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,2,3,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,8,3,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,4,3,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,3,4,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,11,4,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,10,1,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,9,1,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,5,1,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,1,2,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,6,2,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,7,2,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,2,3,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,8,3,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,4,3,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,3,4,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,11,4,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,4,1,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,5,1,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,7,1,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,6,1,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,8,2,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,11,2,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,1,2,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,2,3,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,3,3,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,9,4,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,10,4,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,4,1,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,5,1,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,7,1,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,6,1,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,8,2,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,11,2,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,1,2,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,2,3,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,3,3,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,9,4,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,10,4,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,4,1,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,5,1,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,7,1,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,6,1,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,8,2,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,11,2,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,1,2,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,2,3,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,3,3,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,9,4,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,10,4,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,4,1,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,5,1,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,7,1,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,6,1,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,8,2,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,11,2,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,1,2,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,2,3,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,3,3,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,9,4,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,10,4,1
9,run_9_algorithm2_tote_overlap_smart_active_need_fixed,5,1,1
9,run_9_algorithm2_tote_overlap_smart_active_need_fixed,3,1,1
9,run_9_algorithm2_tote_overlap_smart_active_need_fixed,10,1,1
9,run_9_algorithm2_tote_overlap_smart_active_need_fixed,1,2,1
9,run_9_algorithm2_tote_overlap_smart_active_need_fixed,2,2,1
9,run_9_algorithm2_tote_overlap_smart_active_need_fixed,7,2,1
9,run_9_algorithm2_tote_overlap_smart_active_need_fixed,8,3,1
9,run_9_algorithm2_tote_overlap_smart_active_need_fixed,4,3,1
9,run_9_algorithm2_tote_overlap_smart_active_need_fixed,9,3,1
9,run_9_algorithm2_tote_overlap_smart_active_need_fixed,11,4,1
9,run_9_algorithm2_tote_overlap_smart_active_need_fixed,6,4,1
10,run_10_algorithm2_tote_overlap_smart_active_need_critical_first,5,1,1
10,run_10_algorithm2_tote_overlap_smart_active_need_critical_first,3,1,1
10,run_10_algorithm2_tote_overlap_smart_active_need_critical_first,10,1,1
10,run_10_algorithm2_tote_overlap_smart_active_need_critical_first,1,2,1
10,run_10_algorithm2_tote_overlap_smart_active_need_critical_first,2,2,1
10,run_10_algorithm2_tote_overlap_smart_active_need_critical_first,7,2,1
10,run_10_algorithm2_tote_overlap_smart_active_need_critical_first,8,3,1
10,run_10_algorithm2_tote_overlap_smart_active_need_critical_first,4,3,1
10,run_10_algorithm2_tote_overlap_smart_active_need_critical_first,9,3,1
10,run_10_algorithm2_tote_overlap_smart_active_need_critical_first,11,4,1
10,run_10_algorithm2_tote_overlap_smart_active_need_critical_first,6,4,1
11,run_11_algorithm2_tote_overlap_smart_active_need_weighted_fixed,5,1,1
11,run_11_algorithm2_tote_overlap_smart_active_need_weighted_fixed,3,1,1
11,run_11_algorithm2_tote_overlap_smart_active_need_weighted_fixed,10,1,1
11,run_11_algorithm2_tote_overlap_smart_active_need_weighted_fixed,1,2,1
11,run_11_algorithm2_tote_overlap_smart_active_need_weighted_fixed,2,2,1
11,run_11_algorithm2_tote_overlap_smart_active_need_weighted_fixed,7,2,1
11,run_11_algorithm2_tote_overlap_smart_active_need_weighted_fixed,8,3,1
11,run_11_algorithm2_tote_overlap_smart_active_need_weighted_fixed,4,3,1
