run_id,run_label,order_num,completion_time,conveyor,replication
1,run_1_algorithm1_load_balance_smart_active_need_fixed,3,45.0,4,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,10,52.5,1,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,9,101.25,1,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,11,112.5,4,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,5,120.0,1,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,1,157.5,2,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,6,187.5,2,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,2,221.25,3,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,7,232.5,2,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,8,247.5,3,1
1,run_1_algorithm1_load_balance_smart_active_need_fixed,4,255.0,3,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,3,45.0,4,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,10,52.5,1,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,9,101.25,1,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,11,112.5,4,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,5,120.0,1,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,1,157.5,2,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,6,187.5,2,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,7,217.5,2,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,2,221.25,3,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,8,247.5,3,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,4,270.0,3,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,10,26.25,1,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,3,142.5,4,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,9,150.0,1,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,1,165.0,2,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,11,168.75,4,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,5,183.75,1,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,6,183.75,2,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,7,247.5,2,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,2,258.75,3,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,8,277.5,3,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,4,281.25,3,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,10,26.25,1,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,3,142.5,4,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,9,150.0,1,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,1,165.0,2,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,11,168.75,4,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,5,183.75,1,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,6,183.75,2,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,7,243.75,2,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,2,258.75,3,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,8,277.5,3,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,4,285.0,3,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,9,225.0,4,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,10,405.0,4,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,8,480.0,2,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,9,153.75,4,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,10,333.75,4,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,8,348.75,2,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,11,528.75,2,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,8,41.25,2,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,11,116.25,2,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,1,146.25,2,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,4,168.75,1,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,5,191.25,1,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,7,217.5,1,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,6,240.0,1,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,9,307.5,4,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,2,315.0,3,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,3,341.25,3,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,10,363.75,4,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,8,33.75,2,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,11,71.25,2,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,1,101.25,2,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,4,123.75,1,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,5,146.25,1,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,7,172.5,1,1
