run_id,run_label,order_sequencing,tote_sequencing,item_sequencing,total_time,avg_order_time,num_orders,total_orders_expected,all_orders_completed,flawed_run,tote_sequence,item_sequence,item_sequence_length,replication
1,run_1_algorithm1_load_balance_smart_active_need_fixed,algorithm1_load_balance,smart_active_need,fixed,255.0,157.5,11,11,True,False,"[13, 11, 1, 7, 0, 2, 9, 12, 10, 5, 6]","[6, 6, 1, 2, 2, 2, 2, 0, 0, 0, 3, 3, 3, 6, 6, 4, 4, 0, 3, 3, 3, 5, 5, 6, 1, 1, 6, 6, 1, 1, 1, 6, 6, 2, 1, 1, 6, 2, 2, 2, 1, 1, 4, 1, 3]",45,1
2,run_2_algorithm1_load_balance_smart_active_need_critical_first,algorithm1_load_balance,smart_active_need,critical_first,270.0,157.5,11,11,True,False,"[13, 11, 1, 7, 0, 2, 9, 12, 10, 5, 6]","[6, 6, 1, 2, 2, 2, 2, 0, 0, 0, 3, 3, 3, 6, 6, 4, 4, 0, 3, 3, 3, 5, 5, 6, 1, 1, 6, 6, 1, 1, 1, 6, 6, 2, 1, 1, 6, 2, 2, 2, 1, 1, 4, 3, 1]",45,1
3,run_3_algorithm1_load_balance_smart_active_need_weighted_fixed,algorithm1_load_balance,smart_active_need_weighted,fixed,281.25,189.54545454545453,11,11,True,False,"[11, 1, 13, 7, 12, 2, 10, 0, 9, 6, 5]","[0, 0, 0, 3, 3, 3, 6, 6, 4, 4, 0, 3, 3, 3, 6, 6, 1, 2, 2, 2, 2, 5, 5, 6, 1, 1, 6, 2, 2, 2, 6, 6, 1, 1, 1, 1, 1, 1, 1, 6, 6, 2, 1, 3, 4]",45,1
4,run_4_algorithm1_load_balance_smart_active_need_weighted_critical_first,algorithm1_load_balance,smart_active_need_weighted,critical_first,285.0,189.54545454545453,11,11,True,False,"[11, 1, 13, 7, 12, 2, 10, 0, 9, 6, 5]","[0, 0, 0, 3, 3, 3, 6, 6, 4, 4, 0, 3, 3, 3, 2, 2, 2, 2, 6, 6, 1, 5, 5, 6, 1, 1, 6, 2, 2, 2, 6, 6, 1, 1, 1, 1, 1, 1, 1, 6, 6, 2, 3, 1, 4]",45,1
5,run_5_algorithm1b_stratified_balance_smart_active_need_fixed,algorithm1b_stratified_balance,smart_active_need,fixed,480.0,370.0,3,11,False,True,"[13, 2, 7, 11, 9, 1]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 1, 1, 1, 5, 5, 6, 0, 0, 0, 3, 3, 3, 6, 6, 2, 6]",25,1
6,run_6_algorithm1b_stratified_balance_smart_active_need_critical_first,algorithm1b_stratified_balance,smart_active_need,critical_first,528.75,341.25,4,11,False,True,"[13, 2, 7, 11, 9, 1]","[2, 2, 2, 2, 6, 6, 1, 1, 1, 1, 6, 6, 5, 5, 6, 0, 0, 0, 3, 3, 3, 2, 6, 6, 0, 3, 3, 3, 6, 6, 4, 4]",32,1
7,run_7_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,algorithm1b_stratified_balance,smart_active_need_weighted,fixed,363.75,222.6136363636364,11,11,True,False,"[2, 9, 0, 1, 12, 6, 10, 13, 7, 5, 11]","[6, 6, 1, 1, 1, 6, 6, 2, 1, 1, 6, 6, 4, 4, 0, 3, 3, 3, 1, 1, 6, 2, 2, 2, 1, 3, 1, 1, 6, 6, 1, 2, 2, 2, 2, 5, 5, 6, 4, 0, 0, 0, 3, 3, 3]",45,1
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,algorithm1b_stratified_balance,smart_active_need_weighted,critical_first,311.25,177.61363636363637,11,11,True,False,"[2, 9, 0, 1, 12, 6, 10, 13, 7, 5, 11]","[1, 1, 1, 6, 6, 2, 6, 6, 1, 1, 0, 3, 3, 3, 6, 6, 4, 4, 1, 1, 6, 2, 2, 2, 1, 3, 1, 1, 2, 2, 2, 2, 6, 6, 1, 5, 5, 6, 4, 0, 0, 0, 3, 3, 3]",45,1
9,run_9_algorithm2_tote_overlap_smart_active_need_fixed,algorithm2_tote_overlap,smart_active_need,fixed,217.5,134.3181818181818,11,11,True,False,"[1, 2, 13, 11, 12, 9, 0, 5, 6, 10, 7]","[6, 6, 4, 4, 0, 3, 3, 3, 6, 6, 1, 1, 1, 6, 6, 1, 2, 2, 2, 2, 0, 0, 0, 3, 3, 3, 1, 1, 6, 2, 2, 2, 6, 6, 2, 1, 1, 4, 1, 3, 1, 1, 5, 5, 6]",45,1
10,run_10_algorithm2_tote_overlap_smart_active_need_critical_first,algorithm2_tote_overlap,smart_active_need,critical_first,217.5,133.63636363636363,11,11,True,False,"[1, 2, 13, 11, 12, 9, 0, 5, 6, 10, 7]","[4, 4, 6, 6, 0, 3, 3, 3, 6, 6, 1, 1, 1, 6, 6, 1, 2, 2, 2, 2, 0, 0, 0, 3, 3, 3, 1, 1, 6, 2, 2, 2, 2, 6, 6, 1, 1, 4, 1, 3, 1, 1, 5, 5, 6]",45,1
11,run_11_algorithm2_tote_overlap_smart_active_need_weighted_fixed,algorithm2_tote_overlap,smart_active_need_weighted,fixed,217.5,134.3181818181818,11,11,True,False,"[1, 2, 13, 11, 12, 9, 0, 5, 6, 10, 7]","[6, 6, 4, 4, 0, 3, 3, 3, 6, 6, 1, 1, 1, 6, 6, 1, 2, 2, 2, 2, 0, 0, 0, 3, 3, 3, 1, 1, 6, 2, 2, 2, 6, 6, 2, 1, 1, 4, 1, 3, 1, 1, 5, 5, 6]",45,1
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,algorithm2_tote_overlap,smart_active_need_weighted,critical_first,217.5,133.63636363636363,11,11,True,False,"[1, 2, 13, 11, 12, 9, 0, 5, 6, 10, 7]","[4, 4, 6, 6, 0, 3, 3, 3, 6, 6, 1, 1, 1, 6, 6, 1, 2, 2, 2, 2, 0, 0, 0, 3, 3, 3, 1, 1, 6, 2, 2, 2, 2, 6, 6, 1, 1, 4, 1, 3, 1, 1, 5, 5, 6]",45,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,algorithm3_itemtype_overlap,smart_active_need,fixed,37.5,37.5,1,11,False,True,"[13, 1, 2]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 4, 4, 0, 3, 3, 3, 6]",16,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,algorithm3_itemtype_overlap,smart_active_need,critical_first,37.5,37.5,1,11,False,True,"[13, 1, 2]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 4, 4, 0, 3, 3, 3, 1, 1, 1, 6]",19,1
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,algorithm3_itemtype_overlap,smart_active_need_weighted,fixed,431.25,225.0,4,11,False,True,"[1, 13, 12, 11, 9, 0, 10, 2]","[6, 6, 4, 4, 0, 3, 3, 3, 6, 6, 1, 2, 2, 2, 2, 1, 1, 6, 2, 2, 2, 0, 0, 0, 3, 3, 3, 6, 6, 2, 1, 1, 1, 1, 6]",35,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,algorithm3_itemtype_overlap,smart_active_need_weighted,critical_first,881.25,603.4090909090909,11,11,True,False,"[1, 13, 12, 11, 9, 0, 10, 2, 5, 6, 7]","[6, 6, 4, 4, 0, 3, 3, 3, 6, 6, 1, 2, 2, 2, 2, 1, 1, 6, 2, 2, 2, 0, 0, 0, 3, 3, 3, 6, 6, 2, 1, 1, 1, 1, 1, 1, 1, 6, 6, 4, 3, 1, 5, 5, 6]",45,1
17,run_17_algorithm4_combined_overlap_smart_active_need_fixed,algorithm4_combined_overlap,smart_active_need,fixed,386.25,241.70454545454547,11,11,True,False,"[13, 2, 9, 0, 1, 12, 11, 5, 6, 7, 10]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 1, 1, 1, 6, 6, 2, 1, 1, 6, 6, 4, 4, 0, 3, 3, 3, 1, 1, 6, 2, 2, 2, 0, 0, 0, 3, 3, 3, 4, 1, 3, 5, 5, 6, 1, 1]",45,1
18,run_18_algorithm4_combined_overlap_smart_active_need_critical_first,algorithm4_combined_overlap,smart_active_need,critical_first,371.25,228.75,11,11,True,False,"[13, 2, 9, 0, 1, 12, 11, 5, 6, 7, 10]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 1, 1, 1, 6, 6, 2, 1, 1, 4, 4, 6, 6, 0, 3, 3, 3, 1, 1, 6, 2, 2, 2, 0, 0, 0, 3, 3, 3, 4, 1, 3, 5, 5, 6, 1, 1]",45,1
19,run_19_algorithm4_combined_overlap_smart_active_need_weighted_fixed,algorithm4_combined_overlap,smart_active_need_weighted,fixed,123.75,76.25,3,11,False,True,"[13, 2, 1, 12]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 1, 1, 1, 6, 6, 4, 4, 0, 3, 3, 3, 1, 1, 6, 2]",24,1
20,run_20_algorithm4_combined_overlap_smart_active_need_weighted_critical_first,algorithm4_combined_overlap,smart_active_need_weighted,critical_first,101.25,63.75,3,11,False,True,"[13, 2, 1, 12]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 1, 1, 1, 4, 4, 6, 6, 0, 3, 3, 3, 1, 1, 6, 2]",24,1
1,run_1_fifo_all_fifo_fixed,fifo_all,fifo,fixed,187.5,108.75,2,11,False,True,"[0, 1, 2, 3, 5, 6, 8]","[5, 5, 4, 4, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 3, 3, 2, 2, 2, 0, 4, 4, 4, 3]",24,2
2,run_2_algorithm1_load_balance_smart_active_need_fixed,algorithm1_load_balance,smart_active_need,fixed,266.25,204.54545454545453,11,11,True,False,"[5, 10, 9, 12, 6, 3, 8, 11, 13, 2, 0, 1]","[1, 1, 1, 3, 3, 2, 2, 2, 0, 5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 0, 0, 0, 5, 5, 5, 1, 1, 1, 4, 4, 4, 4, 4, 4, 1, 1, 3, 5, 5, 5, 3, 5, 5, 5, 0, 3, 3, 3, 5, 5, 5, 5, 1, 1, 5, 5, 4, 4]",59,2
3,run_3_algorithm1_load_balance_smart_active_need_critical_first,algorithm1_load_balance,smart_active_need,critical_first,292.5,201.13636363636363,11,11,True,False,"[5, 10, 9, 12, 6, 13, 2, 8, 0, 1, 3, 11]","[1, 1, 1, 3, 3, 2, 2, 2, 0, 4, 4, 4, 4, 4, 6, 6, 6, 5, 1, 1, 0, 0, 0, 5, 5, 5, 1, 1, 1, 4, 4, 4, 4, 4, 4, 5, 3, 3, 3, 1, 1, 5, 5, 5, 3, 5, 5, 5, 5, 5, 4, 4, 1, 1, 3, 5, 5, 5, 0]",59,2
4,run_4_algorithm1_load_balance_smart_active_need_weighted_fixed,algorithm1_load_balance,smart_active_need_weighted,fixed,285.0,199.0909090909091,11,11,True,False,"[5, 9, 10, 6, 12, 13, 2, 3, 0, 1, 11, 8]","[1, 1, 1, 3, 3, 2, 2, 2, 0, 0, 0, 0, 5, 5, 5, 5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 4, 4, 4, 1, 1, 1, 4, 4, 4, 3, 3, 3, 5, 5, 5, 5, 1, 1, 1, 1, 5, 5, 4, 4, 3, 5, 5, 5, 0, 3, 5, 5, 5]",59,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,algorithm1_load_balance,smart_active_need_weighted,critical_first,292.5,192.95454545454547,11,11,True,False,"[5, 9, 10, 6, 12, 13, 2, 0, 1, 3, 8, 11]","[1, 1, 1, 3, 3, 2, 2, 2, 0, 0, 0, 0, 5, 5, 5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 5, 4, 4, 4, 1, 1, 1, 4, 4, 4, 5, 3, 3, 3, 1, 1, 5, 5, 5, 5, 5, 4, 4, 1, 1, 3, 5, 5, 5, 3, 5, 5, 5, 0]",59,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,algorithm1b_stratified_balance,smart_active_need,fixed,270.0,151.875,4,11,False,True,"[5, 10, 9, 11, 2]","[1, 1, 1, 3, 3, 2, 2, 2, 0, 5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 0, 0, 0, 5, 5, 5, 3, 5, 5, 5, 0, 5, 5, 5, 1, 1]",36,2
