Combo,Metric,n,Mean,Std Dev,CI95 LB,CI95 UB,Min,Max
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,Makespan,22,218.3523,49.111732,196.5774,240.1272,153.75,337.5
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,Avg Order Time,22,138.2231,37.639017,121.5349,154.9113,93.4091,239.3182
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,Throughput Rate,22,0.2047,0.029379,0.1917,0.2178,0.1452,0.2538
algorithm2_tote_overlap | smart_active_need_weighted | fixed,Makespan,22,220.5682,59.850666,194.0319,247.1045,153.75,442.5
algorithm2_tote_overlap | smart_active_need_weighted | fixed,Avg Order Time,22,140.749,48.300855,119.3336,162.1644,88.2955,326.25
algorithm2_tote_overlap | smart_active_need_weighted | fixed,Throughput Rate,22,0.2028,0.034262,0.1876,0.218,0.1107,0.2538
algorithm2_tote_overlap | smart_active_need | critical_first,Makespan,24,227.1875,63.97419,200.1736,254.2014,153.75,461.25
algorithm2_tote_overlap | smart_active_need | critical_first,Avg Order Time,24,143.0966,41.144119,125.723,160.4702,95.4545,266.25
algorithm2_tote_overlap | smart_active_need | critical_first,Throughput Rate,24,0.2002,0.033834,0.1859,0.2145,0.1214,0.2614
algorithm4_combined_overlap | smart_active_need_weighted | fixed,Makespan,21,231.7857,46.81675,210.475,253.0964,161.25,326.25
algorithm4_combined_overlap | smart_active_need_weighted | fixed,Avg Order Time,21,152.3864,38.440278,134.8886,169.8842,92.0455,245.1136
algorithm4_combined_overlap | smart_active_need_weighted | fixed,Throughput Rate,21,0.1924,0.035042,0.1764,0.2083,0.1351,0.2538
algorithm2_tote_overlap | smart_active_need | fixed,Makespan,23,234.4565,83.216436,198.471,270.442,153.75,510.0
algorithm2_tote_overlap | smart_active_need | fixed,Avg Order Time,23,149.5998,56.403683,125.209,173.9906,95.7955,326.25
algorithm2_tote_overlap | smart_active_need | fixed,Throughput Rate,23,0.1993,0.037749,0.183,0.2156,0.1098,0.2469
algorithm4_combined_overlap | smart_active_need_weighted | critical_first,Makespan,22,237.7841,55.629423,213.1194,262.4488,161.25,367.5
algorithm4_combined_overlap | smart_active_need_weighted | critical_first,Avg Order Time,22,154.9277,44.874842,135.0313,174.8241,91.0227,266.9318
