combo_A,combo_B,n,mean_diff,ci95_diff,t_stat,p_value,sig,winner
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm2_tote_overlap | smart_active_need_weighted | fixed,21,-5.4221,"[-14.3475, 3.5034]",-1.2672,0.219645,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm2_tote_overlap | smart_active_need | critical_first,21,-1.7695,"[-7.9103, 4.3713]",-0.6011,0.554544,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm4_combined_overlap | smart_active_need_weighted | fixed,19,-17.1352,"[-31.8325, -2.4379]",-2.4494,0.024774,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm2_tote_overlap | smart_active_need | fixed,20,-4.9602,"[-14.8971, 4.9767]",-1.0448,0.309237,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm4_combined_overlap | smart_active_need_weighted | critical_first,20,-14.8295,"[-28.1446, -1.5145]",-2.3311,0.030914,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm4_combined_overlap | smart_active_need | critical_first,21,-22.8896,"[-37.4690, -8.3103]",-3.275,0.003788,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm4_combined_overlap | smart_active_need | fixed,20,-30.0341,"[-49.3257, -10.7425]",-3.2585,0.004134,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1_load_balance | smart_active_need | fixed,17,-47.3262,"[-76.0357, -18.6167]",-3.4946,0.002998,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1_load_balance | smart_active_need | critical_first,17,-45.7019,"[-73.9262, -17.4776]",-3.4326,0.003417,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1_load_balance | smart_active_need_weighted | critical_first,17,-42.1324,"[-67.6014, -16.6633]",-3.5069,0.002921,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need_weighted | fixed,16,-58.4233,"[-103.3742, -13.4724]",-2.7703,0.014291,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1_load_balance | smart_active_need_weighted | fixed,17,-47.5267,"[-76.3524, -18.7011]",-3.4952,0.002994,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,fifo_all | fifo | fixed,3,-67.8409,"[-207.5839, 71.9021]",-2.0888,0.171937,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,18,-66.7992,"[-125.1483, -8.4502]",-2.4154,0.027265,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need | critical_first,16,-73.4872,"[-125.1504, -21.8240]",-3.0318,0.008409,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need | critical_first,14,-79.8701,"[-142.7847, -16.9555]",-2.7426,0.016774,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,13,-83.2867,"[-150.0606, -16.5129]",-2.7176,0.01869,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need | fixed,16,-80.4545,"[-133.1449, -27.7642]",-3.2546,0.005333,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,13,-78.6189,"[-125.1881, -32.0496]",-3.6783,0.003159,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,13,-97.5,"[-151.7445, -43.2555]",-3.9162,0.002049,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm2_tote_overlap | smart_active_need | critical_first,22,4.1684,"[-6.9672, 15.3040]",0.7785,0.444981,✗,—
