combo_A,combo_B,n,mean_diff,ci95_diff,t_stat,p_value,sig,winner
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm2_tote_overlap | smart_active_need_weighted | fixed,21,0.0027,"[-0.0023, 0.0076]",1.1244,0.274155,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm2_tote_overlap | smart_active_need | critical_first,21,0.0024,"[-0.0061, 0.0108]",0.5845,0.56539,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm4_combined_overlap | smart_active_need_weighted | fixed,19,0.0149,"[0.0017, 0.0282]",2.373,0.028987,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm2_tote_overlap | smart_active_need | fixed,20,0.0013,"[-0.0055, 0.0082]",0.4054,0.689742,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm4_combined_overlap | smart_active_need_weighted | critical_first,20,0.0135,"[0.0015, 0.0256]",2.3514,0.029649,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm4_combined_overlap | smart_active_need | critical_first,21,0.0241,"[0.0098, 0.0384]",3.5233,0.002137,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm4_combined_overlap | smart_active_need | fixed,20,0.0306,"[0.0128, 0.0484]",3.6031,0.001895,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1_load_balance | smart_active_need | fixed,17,0.0296,"[0.0112, 0.0480]",3.4137,0.003556,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1_load_balance | smart_active_need | critical_first,17,0.0297,"[0.0088, 0.0506]",3.0168,0.008187,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1_load_balance | smart_active_need_weighted | critical_first,17,0.0329,"[0.0091, 0.0568]",2.9276,0.009858,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need_weighted | fixed,16,0.042,"[0.0162, 0.0678]",3.4711,0.00342,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1_load_balance | smart_active_need_weighted | fixed,17,0.0356,"[0.0126, 0.0586]",3.2816,0.004698,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,fifo_all | fifo | fixed,3,0.0706,"[-0.0559, 0.1972]",2.4018,0.138286,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,18,0.0406,"[0.0146, 0.0665]",3.2927,0.004298,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need | critical_first,16,0.0416,"[0.0148, 0.0684]",3.3091,0.004769,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need | critical_first,14,0.0562,"[0.0285, 0.0839]",4.383,0.00074,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,13,0.0584,"[0.0293, 0.0874]",4.3805,0.000896,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need | fixed,16,0.0438,"[0.0157, 0.0720]",3.3209,0.004655,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,13,0.0673,"[0.0355, 0.0990]",4.6124,0.000598,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,13,0.0727,"[0.0403, 0.1051]",4.8905,0.000372,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm2_tote_overlap | smart_active_need | critical_first,22,-0.001,"[-0.0115, 0.0095]",-0.2014,0.842305,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm4_combined_overlap | smart_active_need_weighted | fixed,19,0.0138,"[0.0013, 0.0264]",2.3143,0.032665,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm2_tote_overlap | smart_active_need | fixed,21,-0.0023,"[-0.0080, 0.0034]",-0.8365,0.412752,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm4_combined_overlap | smart_active_need_weighted | critical_first,20,0.0108,"[-0.0017, 0.0232]",1.8019,0.08745,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm4_combined_overlap | smart_active_need | critical_first,21,0.0214,"[0.0046, 0.0382]",2.6609,0.015006,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm4_combined_overlap | smart_active_need | fixed,20,0.0295,"[0.0101, 0.0490]",3.1743,0.004994,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm1_load_balance | smart_active_need | fixed,16,0.0266,"[0.0040, 0.0492]",2.5132,0.023877,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm1_load_balance | smart_active_need | critical_first,17,0.0315,"[0.0112, 0.0517]",3.2988,0.004531,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm1_load_balance | smart_active_need_weighted | critical_first,17,0.0358,"[0.0121, 0.0594]",3.2093,0.00547,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm3_itemtype_overlap | smart_active_need_weighted | fixed,16,0.04,"[0.0132, 0.0668]",3.1789,0.006227,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm1_load_balance | smart_active_need_weighted | fixed,17,0.0394,"[0.0148, 0.0639]",3.404,0.003629,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,fifo_all | fifo | fixed,4,0.0527,"[-0.0613, 0.1666]",1.4707,0.237747,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,18,0.0388,"[0.0121, 0.0654]",3.0725,0.006899,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm3_itemtype_overlap | smart_active_need | critical_first,16,0.04,"[0.0110, 0.0690]",2.9422,0.010093,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm1b_stratified_balance | smart_active_need | critical_first,14,0.0544,"[0.0270, 0.0817]",4.2986,0.000865,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm1b_stratified_balance | smart_active_need | fixed,13,0.0577,"[0.0288, 0.0865]",4.357,0.000933,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm3_itemtype_overlap | smart_active_need | fixed,16,0.0422,"[0.0124, 0.0721]",3.0132,0.008735,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,13,0.0679,"[0.0328, 0.1029]",4.216,0.001197,✓,B
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,13,0.0733,"[0.0379, 0.1088]",4.5047,0.000721,✓,B
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm4_combined_overlap | smart_active_need_weighted | fixed,21,0.0097,"[-0.0073, 0.0268]",1.1883,0.248642,✗,—
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm2_tote_overlap | smart_active_need | fixed,23,0.0029,"[-0.0012, 0.0070]",1.4703,0.155642,✗,—
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm4_combined_overlap | smart_active_need_weighted | critical_first,22,0.0093,"[-0.0047, 0.0233]",1.3795,0.182248,✗,—
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm4_combined_overlap | smart_active_need | critical_first,23,0.0178,"[0.0034, 0.0322]",2.5633,0.017726,✓,B
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm4_combined_overlap | smart_active_need | fixed,22,0.0245,"[0.0078, 0.0412]",3.0514,0.006065,✓,B
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm1_load_balance | smart_active_need | fixed,17,0.0302,"[0.0120, 0.0483]",3.5276,0.002796,✓,B
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm1_load_balance | smart_active_need | critical_first,19,0.0298,"[0.0112, 0.0483]",3.3646,0.003452,✓,B
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm1_load_balance | smart_active_need_weighted | critical_first,19,0.0316,"[0.0050, 0.0582]",2.4941,0.022586,✓,B
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm3_itemtype_overlap | smart_active_need_weighted | fixed,18,0.0293,"[-0.0001, 0.0588]",2.1001,0.050947,✗,—
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm1_load_balance | smart_active_need_weighted | fixed,19,0.0373,"[0.0127, 0.0620]",3.1805,0.00518,✓,B
algorithm2_tote_overlap | smart_active_need | critical_first,fifo_all | fifo | fixed,4,0.034,"[-0.0247, 0.0926]",1.8422,0.162676,✗,—
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,20,0.0284,"[-0.0004, 0.0572]",2.0645,0.052896,✗,—
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm3_itemtype_overlap | smart_active_need | critical_first,18,0.0342,"[0.0083, 0.0600]",2.7917,0.012522,✓,B
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need | critical_first,15,0.0477,"[0.0168, 0.0785]",3.3164,0.005093,✓,B
algorithm2_tote_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,14,0.0504,"[0.0195, 0.0813]",3.5213,0.003757,✓,B
