combo_A,combo_B,n,mean_diff,ci95_diff,t_stat,p_value,sig,winner
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm2_tote_overlap | smart_active_need_weighted | fixed,21,-6.4286,"[-17.3738, 4.5167]",-1.2252,0.234745,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm2_tote_overlap | smart_active_need | critical_first,21,-2.6786,"[-11.6649, 6.3077]",-0.6218,0.541117,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm4_combined_overlap | smart_active_need_weighted | fixed,19,-18.9474,"[-34.8701, -3.0246]",-2.5,0.022308,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm2_tote_overlap | smart_active_need | fixed,20,-5.0625,"[-17.7219, 7.5969]",-0.837,0.412996,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm4_combined_overlap | smart_active_need_weighted | critical_first,20,-18.0,"[-33.2748, -2.7252]",-2.4665,0.02333,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm4_combined_overlap | smart_active_need | critical_first,21,-33.75,"[-55.4629, -12.0371]",-3.2424,0.004081,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm4_combined_overlap | smart_active_need | fixed,20,-44.25,"[-72.4668, -16.0332]",-3.2823,0.003918,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1_load_balance | smart_active_need | fixed,17,-43.4559,"[-77.7169, -9.1949]",-2.6888,0.016136,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1_load_balance | smart_active_need | critical_first,17,-43.2353,"[-77.0324, -9.4382]",-2.7119,0.015392,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1_load_balance | smart_active_need_weighted | critical_first,17,-47.2059,"[-82.4101, -12.0017]",-2.8426,0.011759,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need_weighted | fixed,16,-76.1719,"[-136.5865, -15.7572]",-2.6874,0.016881,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1_load_balance | smart_active_need_weighted | fixed,17,-50.9559,"[-88.3119, -13.5999]",-2.8917,0.010623,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,fifo_all | fifo | fixed,3,-120.0,"[-364.3437, 124.3437]",-2.1131,0.168948,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,18,-90.2083,"[-172.8211, -7.5956]",-2.3038,0.034127,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need | critical_first,16,-85.5469,"[-149.6036, -21.4902]",-2.8465,0.012252,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need | critical_first,14,-106.6071,"[-185.6596, -27.5547]",-2.9134,0.012093,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,13,-106.4423,"[-188.1454, -24.7392]",-2.8385,0.014937,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need | fixed,16,-91.4062,"[-157.5470, -25.2655]",-2.9457,0.010022,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,13,-131.5385,"[-211.4672, -51.6097]",-3.5857,0.003743,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,13,-152.8846,"[-243.7699, -61.9993]",-3.6651,0.003236,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm2_tote_overlap | smart_active_need | critical_first,22,4.4318,"[-9.9043, 18.7680]",0.6429,0.527257,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm4_combined_overlap | smart_active_need_weighted | fixed,19,-17.3684,"[-32.5051, -2.2318]",-2.4107,0.026832,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm2_tote_overlap | smart_active_need | fixed,21,2.3214,"[-3.7731, 8.4160]",0.7945,0.436205,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm4_combined_overlap | smart_active_need_weighted | critical_first,20,-11.25,"[-28.9569, 6.4569]",-1.3298,0.199331,✗,—
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm4_combined_overlap | smart_active_need | critical_first,21,-27.3214,"[-53.6783, -0.9645]",-2.1623,0.04289,✓,A
algorithm2_tote_overlap | smart_active_need_weighted | fixed,algorithm4_combined_overlap | smart_active_need | fixed,20,-42.75,"[-72.3946, -13.1054]",-3.0183,0.007069,✓,A
